fips_code,county,state_name,LSAD
1081,Lee,Alabama,County
13007,Baker,Georgia,County
17031,Cook,Illinois,County
51159,Richmond,Virginia,County
26005,Allegan,Michigan,County
26161,Washtenaw,Michigan,County
31029,Chase,Nebraska,County
13141,Hancock,Georgia,County
36057,Montgomery,New York,County
37047,Columbus,North Carolina,County
40105,Nowata,Oklahoma,County
72043,Coamo,Puerto Rico,Muno
8007,Archuleta,Colorado,County
22063,Livingston,Louisiana,Parish
27011,Big Stone,Minnesota,County
27067,Kandiyohi,Minnesota,County
24017,Charles,Maryland,County
28011,Bolivar,Mississippi,County
19051,Davis,Iowa,County
31067,Gage,Nebraska,County
54073,Pleasants,West Virginia,County
8067,La Plata,Colorado,County
17099,LaSalle,Illinois,County
23011,Kennebec,Maine,County
26143,Roscommon,Michigan,County
55085,Oneida,Wisconsin,County
48147,Fannin,Texas,County
72037,Ceiba,Puerto Rico,Muno
6057,Nevada,California,County
20175,Seward,Kansas,County
22125,West Feliciana,Louisiana,Parish
48009,Archer,Texas,County
51036,Charles City,Virginia,County
1091,Marengo,Alabama,County
5079,Lincoln,Arkansas,County
18131,Pulaski,Indiana,County
19027,Carroll,Iowa,County
21081,Grant,Kentucky,County
42069,Lackawanna,Pennsylvania,County
48167,Galveston,Texas,County
17097,Lake,Illinois,County
45029,Colleton,South Carolina,County
30083,Richland,Montana,County
31077,Greeley,Nebraska,County
35033,Mora,New Mexico,County
48137,Edwards,Texas,County
31009,Blaine,Nebraska,County
36027,Dutchess,New York,County
51590,Danville,Virginia,City
54017,Doddridge,West Virginia,County
30105,Valley,Montana,County
5065,Izard,Arkansas,County
18107,Montgomery,Indiana,County
24031,Montgomery,Maryland,County
26073,Isabella,Michigan,County
38047,Logan,North Dakota,County
39123,Ottawa,Ohio,County
13127,Glynn,Georgia,County
28079,Leake,Mississippi,County
31037,Colfax,Nebraska,County
35013,Doña Ana,New Mexico,County
46017,Buffalo,South Dakota,County
12115,Sarasota,Florida,County
13033,Burke,Georgia,County
27171,Wright,Minnesota,County
28107,Panola,Mississippi,County
40079,Le Flore,Oklahoma,County
42001,Adams,Pennsylvania,County
18179,Wells,Indiana,County
39117,Morrow,Ohio,County
22009,Avoyelles,Louisiana,Parish
38073,Ransom,North Dakota,County
48143,Erath,Texas,County
22077,Pointe Coupee,Louisiana,Parish
21189,Owsley,Kentucky,County
29089,Howard,Missouri,County
36021,Columbia,New York,County
8003,Alamosa,Colorado,County
39153,Summit,Ohio,County
13151,Henry,Georgia,County
13275,Thomas,Georgia,County
22097,St. Landry,Louisiana,Parish
29199,Scotland,Missouri,County
53067,Thurston,Washington,County
17041,Douglas,Illinois,County
17089,Kane,Illinois,County
26021,Berrien,Michigan,County
54089,Summers,West Virginia,County
6079,San Luis Obispo,California,County
34021,Mercer,New Jersey,County
36029,Erie,New York,County
13051,Chatham,Georgia,County
18065,Henry,Indiana,County
21071,Floyd,Kentucky,County
21159,Martin,Kentucky,County
29059,Dallas,Missouri,County
31039,Cuming,Nebraska,County
48067,Cass,Texas,County
48387,Red River,Texas,County
13091,Dodge,Georgia,County
39167,Washington,Ohio,County
